               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.021206,            0.014417,           0.0006669,             0.92306,             0.79981,             0.83405,             0.61248,            0.018556,           0.0063584,          0.00041869,           0.0072758,           0.0072758,           0.0072758
                 121,            0.020619,            0.014245,          0.00067807,             0.92306,             0.79986,             0.85492,             0.68998,            0.014961,           0.0067173,          0.00042071,           0.0072361,           0.0072361,           0.0072361
                 122,             0.02076,             0.01448,           0.0007742,             0.92849,             0.86667,             0.96263,              0.7436,            0.012147,           0.0053374,          0.00035018,           0.0071962,           0.0071962,           0.0071962
                 123,             0.02052,            0.014366,          0.00067518,             0.92284,                 0.8,             0.84098,              0.7198,            0.012621,           0.0056877,          0.00033702,           0.0071561,           0.0071561,           0.0071561
                 124,            0.020672,            0.014136,          0.00067912,             0.99991,             0.66667,             0.83274,             0.67319,            0.013956,           0.0064965,          0.00039636,            0.007116,            0.007116,            0.007116
                 125,            0.020594,            0.014686,          0.00063603,             0.99972,                 0.8,             0.91337,             0.70492,            0.015111,            0.005488,          0.00034956,           0.0070757,           0.0070757,           0.0070757
                 126,            0.020036,            0.013813,          0.00069633,             0.87495,             0.93294,             0.91246,             0.70521,            0.013826,           0.0056558,          0.00031925,           0.0070353,           0.0070353,           0.0070353
                 127,            0.019366,              0.0138,           0.0006167,                   1,             0.86664,             0.92803,             0.70097,            0.013692,           0.0060044,          0.00034609,           0.0069948,           0.0069948,           0.0069948
                 128,            0.020475,            0.014023,          0.00064922,             0.99973,                 0.8,             0.88129,             0.71026,            0.012177,           0.0056635,          0.00036944,           0.0069541,           0.0069541,           0.0069541
                 129,            0.019884,            0.013429,          0.00062693,             0.99981,                 0.8,             0.93316,             0.70566,            0.012626,            0.005198,          0.00031101,           0.0069134,           0.0069134,           0.0069134
                 130,            0.020104,            0.013712,          0.00078458,             0.99971,                 0.8,             0.93639,             0.71834,            0.013497,           0.0045335,          0.00034475,           0.0068726,           0.0068726,           0.0068726
                 131,            0.020796,            0.013835,          0.00066702,                   1,             0.79999,             0.89676,             0.73753,            0.013531,           0.0051127,           0.0003281,           0.0068316,           0.0068316,           0.0068316
                 132,            0.019434,            0.013601,          0.00064014,             0.92854,             0.86624,             0.87232,             0.69477,            0.014923,            0.005075,          0.00034685,           0.0067906,           0.0067906,           0.0067906
                 133,            0.019533,            0.013556,          0.00063383,             0.99919,                 0.8,             0.89639,             0.78908,             0.01019,           0.0048183,          0.00030019,           0.0067495,           0.0067495,           0.0067495
                 134,            0.019733,            0.013701,          0.00061882,             0.92837,             0.86667,             0.91982,             0.79542,            0.011864,           0.0045825,          0.00031167,           0.0067083,           0.0067083,           0.0067083
                 135,            0.020271,            0.014183,          0.00065355,             0.99978,             0.86667,             0.87486,             0.75408,            0.013576,           0.0047497,          0.00031035,           0.0066671,           0.0066671,           0.0066671
                 136,            0.019568,            0.013656,          0.00065429,                   1,             0.79995,             0.86619,             0.68826,            0.015434,           0.0053138,          0.00034558,           0.0066257,           0.0066257,           0.0066257
                 137,            0.019236,            0.013972,          0.00064999,             0.99993,             0.86667,             0.93163,              0.7314,            0.013159,           0.0052564,          0.00030676,           0.0065843,           0.0065843,           0.0065843
                 138,             0.01951,            0.013522,          0.00064232,                   1,             0.93319,                0.98,             0.72946,            0.013925,           0.0050766,          0.00035005,           0.0065429,           0.0065429,           0.0065429
                 139,            0.019579,            0.014188,          0.00064969,             0.92856,             0.86648,             0.92253,             0.72932,            0.013537,            0.005264,          0.00029926,           0.0065013,           0.0065013,           0.0065013
                 140,            0.018739,            0.013702,          0.00063624,             0.99988,                 0.8,              0.8675,             0.69608,            0.014619,           0.0056156,          0.00033968,           0.0064597,           0.0064597,           0.0064597
                 141,            0.019256,            0.014015,          0.00065472,             0.87492,             0.93333,             0.91692,             0.69769,            0.013177,           0.0060385,          0.00031604,           0.0064181,           0.0064181,           0.0064181
                 142,            0.018504,            0.013438,          0.00058243,             0.99977,             0.93333,             0.94001,             0.77448,            0.010937,           0.0053808,          0.00030699,           0.0063764,           0.0063764,           0.0063764
                 143,            0.018865,            0.013535,          0.00073235,             0.92855,             0.86644,             0.87167,             0.75734,            0.011776,           0.0056331,          0.00031151,           0.0063347,           0.0063347,           0.0063347
                 144,            0.018618,            0.013427,          0.00059098,             0.99984,             0.86667,             0.93163,             0.71942,            0.012018,           0.0050743,          0.00030544,            0.006293,            0.006293,            0.006293
                 145,            0.018507,            0.013317,          0.00056421,             0.99955,             0.93333,              0.9408,             0.74201,             0.01065,           0.0048471,          0.00030133,           0.0062512,           0.0062512,           0.0062512
                 146,            0.018678,            0.013274,          0.00061696,                   1,             0.86657,             0.93037,             0.74855,            0.011329,            0.004969,          0.00028511,           0.0062093,           0.0062093,           0.0062093
                 147,            0.018636,            0.013383,          0.00055242,             0.86661,             0.86629,             0.90591,             0.75318,            0.011786,           0.0045313,          0.00030219,           0.0061675,           0.0061675,           0.0061675
                 148,            0.018683,            0.013515,          0.00061906,             0.86649,             0.86667,             0.87796,             0.75876,            0.011409,           0.0046244,          0.00026388,           0.0061256,           0.0061256,           0.0061256
                 149,            0.018859,            0.013742,          0.00054228,             0.99981,             0.86667,             0.87609,             0.72512,              0.0127,           0.0052369,          0.00029898,           0.0060838,           0.0060838,           0.0060838
                 150,             0.01871,            0.013467,          0.00065556,             0.99993,                 0.8,             0.91591,             0.72278,            0.013023,           0.0050767,          0.00029578,           0.0060419,           0.0060419,           0.0060419
                 151,            0.018941,            0.013245,          0.00070423,             0.93328,             0.93333,             0.95767,             0.74004,            0.011933,           0.0054983,          0.00029644,               0.006,               0.006,               0.006
